,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,POB_2018,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,NOMGEO,mts_built_1975,mts_built_1980,mts_built_1985,mts_built_1990,mts_built_1995,mts_built_2000,mts_built_2005,mts_built_2010,mts_built_2015,mts_built_2020
143,15,México,093,Tepetlaoxtoc,,,M09.01,32277,16120.0,22729,27944,32564,15093,Tepetlaoxtoc,1507364,1591361,1701067,1832658,2081170,2430894,2635374,2917473,3299638,4007923
144,15,México,083,Temamatla,,,M09.01,13100,5366.0,8840,11206,14130,15083,Temamatla,288783,294935,305072,318700,402866,538091,612155,710134,853128,1078807
145,15,México,031,Chimalhuacán,,,M09.01,742659,242317.0,490772,614453,705193,15031,Chimalhuacán,13525092,13698215,13879978,14081901,15620323,18007589,18455170,18989368,19480403,19582045
146,15,México,070,La Paz,,,M09.01,295395,134782.0,212694,253845,304088,15070,La Paz,6072988,6203641,6352585,6520052,7193026,8262587,8742980,9452248,10266057,10845543
147,15,México,096,Tequixquiac,,,M09.01,39195,20784.0,28067,33907,39489,15096,Tequixquiac,2843952,2851893,2861068,2869673,2995201,3177979,3389182,3670843,4021676,4538464
148,15,México,109,Tultitlán,,,M09.01,616255,246464.0,432141,486998,516341,15109,Tultitlán,6870431,7712786,9088625,10793517,13223794,16630011,17414038,18408119,19498633,20255020
149,15,México,027,Chapultepec,,,M15.02,13087,3863.0,5735,9676,12772,15027,Chapultepec,158343,178234,211580,251649,280716,332505,413532,549431,726011,960858
150,15,México,061,Nopaltepec,,,M09.01,10132,5234.0,7512,8895,10351,15061,Nopaltepec,935448,937481,940370,943260,1006163,1088147,1183983,1302837,1448693,1636091
151,15,México,058,Nezahualcóyotl,,,M09.01,1208212,1256115.0,1225972,1110565,1077208,15058,Nezahualcóyotl,25095421,25157354,25231213,25329245,25380352,25443924,25458013,25472162,25489641,25528138
152,15,México,022,Cocotitlán,,,M09.01,13339,8068.0,10205,12142,15107,15022,Cocotitlán,243309,258304,275298,298216,358550,485605,559299,680856,841445,1076568
153,15,México,068,Ozumba,,,M09.01,32120,18052.0,23592,27207,30785,15068,Ozumba,251311,295035,366961,460805,662334,970801,1146724,1423009,1752568,1992406
154,15,México,081,Tecámac,,,M09.01,472126,123218.0,172813,364579,547503,15081,Tecámac,9524989,9648307,9817545,10031066,11161675,12762111,14437139,16888912,19825694,21346244
155,15,México,089,Tenango del Aire,,,M09.01,12452,6207.0,8486,10578,11359,15089,Tenango del Aire,159242,188965,229106,288355,344408,430475,480330,558111,679363,998432
156,15,México,037,Huixquilucan,,,M09.01,280775,131926.0,193468,242167,284965,15037,Huixquilucan,5454823,5792129,6314308,7078273,7205101,7402103,8121602,9094738,10307696,12090310
157,15,México,019,Capulhuac,,,M15.01,39802,21258.0,28808,34101,36921,15019,Capulhuac,623509,727179,875586,1082467,1190922,1354360,1549152,1832761,2135384,2390216
158,15,México,013,Atizapán de Zaragoza,,,M09.01,555364,315192.0,467886,489937,523674,15013,Atizapán de Zaragoza,7281594,8697236,10846563,13580134,14765531,16390840,16887061,17625527,18626277,20362433
159,15,México,065,Otumba,,,M09.01,40556,21834.0,29097,34232,36331,15065,Otumba,2580146,2630675,2694367,2758509,2884658,3082206,3328540,3667793,4144838,5001980
160,15,México,120,Zumpango,,,M09.01,198245,71413.0,99774,159647,280455,15120,Zumpango,6241726,6276497,6328166,6399834,7310552,8697766,9930956,11833221,14146540,15893109
161,15,México,039,Ixtapaluca,,,M09.01,545581,137357.0,297570,467361,542211,15039,Ixtapaluca,5808101,6242800,6790110,7464408,9267737,12235758,13424304,15180678,17327731,18687697
162,15,México,104,Tlalnepantla de Baz,,,M09.01,719304,702807.0,721415,664225,672202,15104,Tlalnepantla de Baz,20485967,21282710,22194351,23275453,23464477,23718952,23951249,24216368,24560731,25020435
163,15,México,075,San Martín de las Pirámides,,,M09.01,29739,13563.0,19694,24851,29182,15075,San Martín de las Pirámides,1589539,1638132,1696284,1773225,1881819,2039876,2172475,2366086,2601189,2936085
164,15,México,035,Huehuetoca,,,M09.01,143548,25529.0,38458,100023,163244,15035,Huehuetoca,1714588,1816057,1944189,2103915,2474609,3137670,4058206,5523258,7178669,8392334
165,15,México,103,Tlalmanalco,,,M09.01,52242,32984.0,42507,46130,49196,15103,Tlalmanalco,627272,711254,834319,991224,1126917,1381711,1555376,1782687,2095322,2682460
166,15,México,067,Otzolotepec,,,M15.02,93384,40407.0,57583,78146,88783,15067,Otzolotepec,1408758,1512318,1660736,1854740,2130336,2609906,3116028,3884019,4845593,5983281
167,15,México,090,Tenango del Valle,,,M15.02,91996,45952.0,65119,77965,90518,15090,Tenango del Valle,1642202,1857273,2147516,2527882,2865891,3376410,3805119,4471545,5268892,6081193
168,15,México,009,Amecameca,,,M09.01,53514,36321.0,45255,48421,53441,15009,Amecameca,594504,698978,838808,1035785,1369547,1962193,2213027,2564900,2966643,3628447
169,15,México,034,Ecatzingo,,,M09.01,11095,5808.0,7916,9369,10827,15034,Ecatzingo,16459,21529,34864,56690,81449,133561,211878,348668,517211,685916
170,16,Michoacán de Ocampo,088,Tarímbaro,,,M16.02,101928,33871.0,39408,78623,114513,16088,Tarímbaro,1485657,1669933,1920907,2283848,2640065,3257301,3857175,4847832,6048528,6840510
171,16,Michoacán de Ocampo,053,Morelia,,,M16.02,783026,492901.0,620532,729279,849053,16053,Morelia,15714911,17794143,20966076,25008180,28191151,33548824,36303109,40739662,46211034,51226882
172,16,Michoacán de Ocampo,043,Jacona,,,M16.03,67639,40546.0,54130,64011,68781,16043,Jacona,1519567,1652896,1819437,2014896,2268120,2672342,2932021,3326394,3861753,4851855
173,16,Michoacán de Ocampo,022,Charo,,,M16.02,23250,16213.0,19169,21723,25138,16022,Charo,517939,581656,675019,792846,937227,1147380,1375925,1713728,2185219,2734248
174,16,Michoacán de Ocampo,108,Zamora,,,M16.03,199265,144899.0,161918,186102,204860,16108,Zamora,5201363,5544140,5986300,6504619,7052667,7927830,8604806,9562953,11029750,14012017
175,16,Michoacán de Ocampo,069,La Piedad,,,M16.01,107214,81162.0,84946,99576,106490,16069,La Piedad,5014400,5101664,5226257,5365647,5692183,6144463,6639159,7361360,8325771,9931918
176,17,Morelos,006,Cuautla,,,M17.01,195152,120315.0,153329,175207,187118,17006,Cuautla,3435052,3938322,4672256,5698616,7290611,10157308,10866762,11795354,12869588,13814261
177,17,Morelos,030,Yecapixtla,,,M17.01,53980,27032.0,36582,46809,56083,17030,Yecapixtla,296509,396826,562285,823294,1181535,1917488,2297990,2933564,3789761,5076648
178,17,Morelos,004,Ayala,,,M17.01,88724,52969.0,69381,78866,89834,17004,Ayala,1067014,1298672,1637784,2096654,2807555,4112768,4730775,5625551,6751441,8367591
179,17,Morelos,028,Xochitepec,,,M17.02,73540,27828.0,45643,63382,73539,17028,Xochitepec,437919,585555,845203,1206367,1860041,3089164,3748997,4777063,6081093,7216853
180,17,Morelos,002,Atlatlahucan,,,M17.01,23371,9255.0,14708,18895,25232,17002,Atlatlahucan,154506,266906,529048,857295,1112429,1605308,2059860,2748528,3624507,4692470
181,17,Morelos,020,Tepoztlán,,,M17.02,47691,27646.0,32921,41629,54987,17020,Tepoztlán,36729,72721,177496,335944,551969,930782,1257529,1792105,2653964,4625335
182,17,Morelos,009,Huitzilac,,,M17.02,20016,10573.0,15184,17340,24515,17009,Huitzilac,86285,126213,190123,273577,314498,382806,517680,760330,1163608,2128050
183,17,Morelos,026,Tlayacapan,,,M17.01,18784,9868.0,13851,16543,19408,17026,Tlayacapan,59145,99975,167563,287918,348961,460673,604146,818771,1158364,1890153
184,17,Morelos,008,Emiliano Zapata,,,M17.02,98306,33646.0,57617,83485,107053,17008,Emiliano Zapata,1011566,1270042,1647559,2119302,3076518,4754110,5528890,6637766,7862486,8679366
185,17,Morelos,007,Cuernavaca,,,M17.02,397179,281294.0,338706,365168,378476,17007,Cuernavaca,8752548,9782512,11242595,13110962,15095710,18118333,19666984,21679324,24004342,26043167
186,17,Morelos,024,Tlaltizapán de Zapata,,,M17.02,54065,37497.0,45272,48881,52399,17024,Tlaltizapán de Zapata,843381,914364,1017484,1139838,1788412,2923271,3243495,3700405,4276270,5074711
187,17,Morelos,011,Jiutepec,,,M17.02,220501,101275.0,170589,196953,215357,17011,Jiutepec,2752990,3395477,4392295,5702659,7094533,9348210,9987262,10819179,11786117,12573706
188,17,Morelos,029,Yautepec,,,M17.01,111738,60258.0,84405,97827,105780,17029,Yautepec,967167,1356665,2061174,2980587,4011245,5990389,6790348,7903759,9368929,11385226
189,17,Morelos,018,Temixco,,,M17.02,120980,67736.0,92850,108126,122263,17018,Temixco,1915678,2257962,2780428,3470475,4153384,5179714,5730106,6573055,7620201,8566953
190,18,Nayarit,020,Bahía de Banderas,,,M14.03,172125,39831.0,59808,124205,187632,18020,Bahía de Banderas,9130239,9194590,9269319,9351540,10346175,11721819,11885169,12107844,12357431,12674377
191,18,Nayarit,008,Xalisco,,,M18.01,58908,26722.0,37664,49102,65229,18008,Xalisco,3092575,3162841,3246267,3335258,3475141,3705689,3975108,4354900,4794146,5216650
192,18,Nayarit,017,Tepic,,,M18.01,453479,241463.0,305176,380249,425924,18017,Tepic,15075600,15508644,16002597,16545665,17506806,18826531,19691345,20859374,22205438,23393855
193,19,Nuevo León,019,San Pedro Garza García,,,M19.01,135338,113040.0,125978,122659,132169,19019,San Pedro Garza García,5625278,6349506,7222129,8293136,8485824,8821774,9412947,10130537,10933777,11676907
194,19,Nuevo León,021,General Escobedo,,,M19.01,425926,98147.0,233457,357937,481213,19021,General Escobedo,1736766,2344337,3267031,4550441,6060757,9021068,10862187,14104757,18082365,21685671
195,19,Nuevo León,039,Monterrey,,,M19.01,1216302,1069238.0,1110997,1135550,1142994,19039,Monterrey,36442207,38742439,41681410,45350645,46452068,48326503,50205456,53387318,57366107,61040788
196,19,Nuevo León,018,García,,,M19.01,204735,13164.0,28974,143668,397205,19018,García,645517,903228,1337969,1944235,2465791,3363474,4737130,7462212,11138897,16080493
197,19,Nuevo León,048,Santa Catarina,,,M19.01,296472,163848.0,227026,268955,306322,19048,Santa Catarina,6093123,6640397,7320243,8210849,9094389,10560131,11496214,12984846,14825706,16537001
198,19,Nuevo León,025,General Zuazua,,,M19.01,82657,4647.0,6033,55213,102149,19025,General Zuazua,338072,383419,470723,583411,755627,1105833,1815276,3230394,5321738,8140636
199,19,Nuevo León,041,Pesquería,,,M19.01,30099,8188.0,11321,20843,147624,19041,Pesquería,300713,323331,354043,400933,474772,634344,1123016,2202632,4298146,9387308
200,19,Nuevo León,009,Cadereyta Jiménez,,,M19.01,100728,53582.0,75059,86445,122337,19009,Cadereyta Jiménez,3126841,3270979,3489200,3806572,4252638,5082420,5829451,7268502,9611945,15049876
201,19,Nuevo León,012,Ciénega de Flores,,,M19.01,35078,6708.0,11204,24526,68747,19012,Ciénega de Flores,458468,492769,544144,607564,725527,978000,1322306,1985903,2918105,4351436
202,19,Nuevo León,046,San Nicolás de los Garza,,,M19.01,459392,436603.0,496878,443273,412199,19046,San Nicolás de los Garza,14320946,15732240,17499456,19751881,20195723,20788734,21228649,21726701,22237572,22572460
203,19,Nuevo León,010,El Carmen,,,M19.01,23214,4906.0,6644,16092,104478,19010,El Carmen,281421,319259,383854,464904,531513,656463,922934,1445595,2325212,3962226
204,19,Nuevo León,001,Abasolo,,,M19.01,2997,1373.0,2514,2791,2974,19001,Abasolo,90983,110938,139313,181737,194248,225038,258529,303814,365706,477570
205,19,Nuevo León,047,Hidalgo,,,M19.01,18447,11668.0,14275,16604,16086,19047,Hidalgo,816185,853728,899122,947551,1049907,1211405,1358564,1576270,1847026,2275420
206,19,Nuevo León,031,Juárez,,,M19.01,363859,28014.0,66497,256970,471523,19031,Juárez,1245770,1288411,1348311,1435763,1593655,1866033,3519251,6872170,11500327,16510147
207,19,Nuevo León,049,Santiago,,,M19.01,44571,30182.0,36812,40469,46784,19049,Santiago,866421,874336,883926,897665,929116,973918,1245015,1694712,2930075,8056256
208,19,Nuevo León,006,Apodaca,,,M19.01,636331,115913.0,283497,523370,656464,19006,Apodaca,5284003,6073963,7242789,8776493,10153540,12470177,15606805,21186262,28161223,33953974
209,19,Nuevo León,026,Guadalupe,,,M19.01,720743,535560.0,670162,678006,643143,19026,Guadalupe,16623334,17988835,19707917,21802510,22466863,23316423,24719203,26869638,29333719,31000844
210,19,Nuevo León,045,Salinas Victoria,,,M19.01,38080,9518.0,19024,32660,86766,19045,Salinas Victoria,308215,332638,375410,428259,710784,1295934,1926178,3137867,5054815,9342188
211,20,Oaxaca,087,San Agustín Yatareni,,,M20.01,4842,2687.0,3400,4075,5521,20087,San Agustín Yatareni,626426,626426,626426,626426,642697,661032,677027,695276,712375,721793
212,20,Oaxaca,067,Oaxaca de Juárez,,,M20.01,273219,213985.0,256130,263357,270955,20067,Oaxaca de Juárez,15086044,15180134,15281765,15395840,15832476,16317528,16488112,16707216,16915793,17114101
213,20,Oaxaca,519,Santo Domingo Tomaltepec,,,M20.01,3170,2353.0,2834,2790,3386,20519,Santo Domingo Tomaltepec,410703,410703,410703,410703,414116,418010,422690,429416,440705,454881
214,20,Oaxaca,157,San Jacinto Amilpas,,,M20.01,17147,2449.0,8343,13860,16827,20157,San Jacinto Amilpas,963692,980493,997296,1014099,1106424,1216794,1234293,1251892,1265936,1265936
215,20,Oaxaca,045,Magdalena Apasco,,,M20.01,8627,3569.0,3942,7522,7888,20045,Magdalena Apasco,708063,712737,717428,722172,747483,778375,793221,815571,839224,858054
216,20,Oaxaca,107,San Antonio de la Cal,,,M20.01,27351,7941.0,15261,21456,26282,20107,San Antonio de la Cal,1432883,1432883,1432883,1433505,1453923,1476443,1483325,1492359,1500577,1502599
217,20,Oaxaca,399,Santa María Atzompa,,,M20.01,34409,5781.0,15749,27465,41921,20399,Santa María Atzompa,2159028,2162699,2166375,2170092,2341313,2550850,2610277,2679666,2753677,2808061
218,20,Oaxaca,227,San Lorenzo Cacaotepec,,,M20.01,15530,7061.0,9965,13704,18339,20227,San Lorenzo Cacaotepec,1699370,1702713,1706106,1710079,1794407,1904684,1943068,1991146,2045039,2072679
219,20,Oaxaca,375,Santa Cruz Amilpas,,,M20.01,11583,4204.0,6457,10120,13200,20375,Santa Cruz Amilpas,411910,414719,417527,420335,469114,526219,543448,563049,582051,596319
220,20,Oaxaca,553,Tlalixtac de Cabrera,,,M20.01,10416,5121.0,6777,9417,12067,20553,Tlalixtac de Cabrera,1311368,1312858,1315094,1316956,1390372,1481029,1523563,1571910,1619313,1635112
221,20,Oaxaca,409,Santa María del Tule,,,M20.01,8492,6398.0,7272,8165,8939,20409,Santa María del Tule,778180,778605,779030,779455,789479,807866,816427,828641,839275,844896
222,20,Oaxaca,091,San Andrés Huayápam,,,M20.01,5313,2355.0,3909,4879,6279,20091,San Andrés Huayápam,407275,413766,420256,426749,447564,471483,503309,548064,592429,636409
223,20,Oaxaca,565,Villa de Zaachila,,,M20.01,39473,11961.0,19247,34101,46464,20565,Villa de Zaachila,2662534,2705570,2748904,2792087,2981840,3211708,3376195,3578999,3783805,3895572
224,20,Oaxaca,421,Santa María Mixtequilla,,,M20.02,4633,3629.0,4041,4442,4690,20421,Santa María Mixtequilla,480782,481122,481463,481816,493997,509613,522089,537333,557612,575101
225,20,Oaxaca,403,Santa María Coyotepec,,,M20.01,3367,877.0,1658,2772,3751,20403,Santa María Coyotepec,393674,393674,393674,393674,410140,429861,442378,457218,472777,489371
226,20,Oaxaca,338,Villa de Etla,,,M20.01,10700,6077.0,7819,9280,10361,20338,Villa de Etla,824774,834241,843928,854241,922594,1010325,1032165,1058832,1081867,1087379
227,20,Oaxaca,308,San Pedro Huilotepec,,,M20.02,3036,2236.0,2588,2839,3307,20308,San Pedro Huilotepec,154067,160844,167819,175037,186857,203579,208455,215415,222788,230411
228,20,Oaxaca,063,Nazareno Etla,,,M20.01,4085,3207.0,3368,3882,4293,20063,Nazareno Etla,366815,367625,368432,369832,379884,390749,393001,395367,401401,401901
229,20,Oaxaca,079,Salina Cruz,,,M20.02,88767,65707.0,76452,82371,84438,20079,Salina Cruz,7686487,7744597,7811169,7882408,8089563,8373299,8505135,8678747,8868753,9013499
230,20,Oaxaca,174,-nimas Trujano,,,M20.01,4267,2282.0,2887,3759,4564,20174,Ánimas Trujano,361535,361535,361535,361535,372329,386811,392031,398674,403425,404158
231,20,Oaxaca,293,San Pablo Etla,,,M20.01,18386,4228.0,7103,15535,17116,20293,San Pablo Etla,1276007,1285696,1301725,1316179,1436424,1596848,1628821,1666042,1705935,1761517
232,20,Oaxaca,083,San Agustín de las Juntas,,,M20.01,10204,2646.0,4970,8089,11391,20083,San Agustín de las Juntas,804698,804698,804698,804698,832291,866123,884999,906257,926439,933344
233,20,Oaxaca,124,San Blas Atempa,,,M20.02,17621,10935.0,15886,17094,19696,20124,San Blas Atempa,958900,965599,973534,982794,1008251,1052675,1078405,1109174,1143296,1166396
234,20,Oaxaca,385,Santa Cruz Xoxocotlán,,,M20.01,89249,30762.0,52806,77833,100402,20385,Santa Cruz Xoxocotlán,5376636,5383245,5390237,5397056,5627676,5928415,6061950,6221255,6362626,6411089
235,20,Oaxaca,539,Soledad Etla,,,M20.01,5665,3205.0,3902,5025,6348,20539,Soledad Etla,564383,567511,570641,573772,636229,711195,717711,728408,737297,741642
236,20,Oaxaca,115,San Bartolo Coyotepec,,,M20.01,9369,3825.0,4740,8684,10391,20115,San Bartolo Coyotepec,969669,969927,970185,970443,1058671,1178279,1213935,1261266,1304296,1334191
237,20,Oaxaca,390,Santa Lucía del Camino,,,M20.01,50604,29122.0,44364,47356,50362,20390,Santa Lucía del Camino,2551667,2554345,2557957,2563262,2661368,2771596,2788375,2805532,2822242,2829815
238,20,Oaxaca,350,San Sebastián Tutla,,,M20.01,17659,4231.0,15690,16241,16878,20350,San Sebastián Tutla,837929,843101,849009,854583,893524,938573,945873,953681,960608,962851
239,20,Oaxaca,515,Santo Domingo Tehuantepec,,,M20.02,66238,47147.0,53229,61872,67739,20515,Santo Domingo Tehuantepec,5113974,5146553,5184563,5234064,5378400,5576323,5734944,5936301,6178903,6482893
240,21,Puebla,119,San Andrés Cholula,,,M21.01,121521,37788.0,56066,100439,154448,21119,San Andrés Cholula,5005604,5479689,6041529,6676231,7705346,9261383,10023882,11056217,12164154,12630446
241,21,Puebla,132,San Martín Texmelucan,,,M21.01,156873,94471.0,121071,141112,155738,21132,San Martín Texmelucan,4527137,4822978,5199419,5622242,6604961,8158789,8504624,8942162,9419181,9772516
242,21,Puebla,060,Domingo Arenas,,,M21.01,8247,4438.0,5581,6946,7982,21060,Domingo Arenas,31754,42994,69535,97990,199005,395044,462079,562624,684774,769794
243,21,Puebla,054,Chignautla,,,M21.03,34695,13037.0,21571,30254,35223,21054,Chignautla,916826,917143,917739,918332,967144,1031666,1182022,1418339,1681338,1867045
244,21,Puebla,163,Tepatlaxco de Hidalgo,,,M21.01,18051,12153.0,14055,16275,18854,21163,Tepatlaxco de Hidalgo,685772,736162,790894,846972,970020,1196749,1203932,1213290,1224792,1240187
245,21,Puebla,048,Chiautzingo,,,M21.01,20888,15483.0,17788,18762,22039,21048,Chiautzingo,328130,386950,481086,593900,846362,1208754,1571866,2160565,2867458,3587801
246,21,Puebla,001,Acajete,,,M21.01,68027,41227.0,49462,60353,72894,21001,Acajete,2373517,2620632,2918763,3290324,3946983,4906009,5180012,5537971,5981874,6573795
247,21,Puebla,140,San Pedro Cholula,,,M21.01,132472,78177.0,99794,120459,138433,21140,San Pedro Cholula,4285878,4966300,5787129,6770311,7518376,8600685,9003373,9520965,10043641,10321583
248,21,Puebla,125,San Gregorio Atzompa,,,M21.01,9469,5593.0,6934,8170,9671,21125,San Gregorio Atzompa,797497,836555,877596,920150,1021077,1171229,1212052,1263319,1335186,1384234
249,21,Puebla,074,Huejotzingo,,,M21.01,69425,41792.0,50868,63457,90794,21074,Huejotzingo,1250441,1517940,1870516,2316134,3153517,4572556,5088253,5881387,6802480,7552131
250,21,Puebla,181,Tlaltenango,,,M21.01,6918,4338.0,5370,6269,7425,21181,Tlaltenango,106981,169533,276716,416157,523174,705722,733438,769748,799984,815232
251,21,Puebla,015,Amozoc,,,M21.01,123009,35738.0,64315,100964,125876,21015,Amozoc,1936013,2169880,2491731,2880835,3739945,4953072,5501567,6356775,7351134,8245565
252,21,Puebla,106,Ocoyucan,,,M21.01,30482,17708.0,23619,25720,42669,21106,Ocoyucan,948955,1083949,1263674,1509571,1713319,2088185,2389386,2859634,3367338,3686204
253,21,Puebla,149,Santiago Miahuatlán,,,M21.02,25745,9073.0,14249,21993,30309,21149,Santiago Miahuatlán,501680,541943,603466,675007,853980,1096993,1371862,1826135,2444433,3245076
254,21,Puebla,114,Puebla,,,M21.01,1674423,1057454.0,1346916,1539819,1692181,21114,Puebla,42132195,45762686,50441202,56176314,61308170,68691022,71170433,74521195,78242226,80717269
255,21,Puebla,090,Juan C. Bonilla,,,M21.01,22156,11495.0,14483,18540,23783,21090,Juan C. Bonilla,489018,624372,806348,1035986,1186301,1408746,1538910,1726623,1934347,2048622
256,21,Puebla,034,Coronango,,,M21.01,39755,20576.0,27575,34596,46836,21034,Coronango,1337772,1496144,1687505,1916794,2218208,2714013,3005732,3466275,3980024,4313671
257,21,Puebla,122,San Felipe Teotlalcingo,,,M21.01,10517,7719.0,8632,9426,11063,21122,San Felipe Teotlalcingo,345282,380647,429641,484572,594276,735583,859333,1025865,1224677,1348010
258,21,Puebla,143,San Salvador el Verde,,,M21.01,33219,17980.0,22649,28419,34880,21143,San Salvador el Verde,1023179,1100211,1192776,1295237,1560041,1957137,2240055,2644852,3114465,3453893
259,21,Puebla,136,San Miguel Xoxtla,,,M21.01,12808,7478.0,9350,11598,12461,21136,San Miguel Xoxtla,334171,393662,466124,557502,637060,780278,816038,857427,962221,1281227
260,21,Puebla,174,Teziutlán,,,M21.03,100380,63245.0,81156,92246,103583,21174,Teziutlán,2736347,2740996,2745648,2750378,2991250,3314545,3695891,4207736,4781872,5286435
261,21,Puebla,041,Cuautlancingo,,,M21.01,102060,29047.0,46729,79153,137435,21041,Cuautlancingo,1864883,2278077,2866050,3603441,4342329,5565680,6229367,7171202,8289326,9124472
262,21,Puebla,156,Tehuacán,,,M21.02,303349,155563.0,226258,274906,327312,21156,Tehuacán,9540696,10056376,10723091,11521738,12749188,14369591,15561301,17324035,19391789,21448277
263,22,Querétaro,006,Corregidora,,,M22.01,179221,43775.0,74558,143073,212567,22006,Corregidora,2165991,2550971,3213552,4129091,5634859,8280147,9460487,11270226,13710703,16887424
264,22,Querétaro,008,Huimilpan,,,M22.01,39574,24106.0,29140,35554,36808,22008,Huimilpan,1472765,1587806,1765457,1996304,2359157,2976492,3365341,3999292,5177346,8452465
265,22,Querétaro,011,El Marqués,,,M22.01,152272,55258.0,71397,116458,231668,22011,El Marqués,3881541,4108452,4501872,5021165,6507327,9319673,11067762,13859002,18162446,25815875
266,22,Querétaro,014,Querétaro,,,M22.01,897039,456458.0,641386,801940,1049777,22014,Querétaro,21370202,23410263,26517264,30369653,36557306,47461248,50612512,55513060,61887894,69959183
267,23,Quintana Roo,004,Othón P. Blanco,,,M23.02,258539,172563.0,208164,244553,233648,23004,Othón P. Blanco,11585894,12145451,13049133,14153346,14875265,15913852,16758917,17935259,19353747,20870734
268,23,Quintana Roo,003,Isla Mujeres,,,M23.01,21200,10666.0,11313,16203,22686,23003,Isla Mujeres,1197555,1212484,1230197,1249227,1282535,1327209,1356467,1399271,1451846,1520642
269,23,Quintana Roo,005,Benito Juárez,,,M23.01,848465,176765.0,419815,661176,911503,23005,Benito Juárez,25534094,26042386,26586458,27189736,27311687,27468188,28945403,31041330,33301693,34403574
270,24,San Luis Potosí,024,Rioverde,,,M24.01,99724,86434.0,88991,91924,97943,24024,Rioverde,3600786,3795949,4073101,4416245,5127726,6224145,7294274,8824808,10670435,12538298
271,24,San Luis Potosí,028,San Luis Potosí,,,M24.02,848151,525733.0,670532,772604,911908,24028,San Luis Potosí,31295311,32317110,33589847,35130788,37100821,40141483,43930087,49702302,56580950,61713621
272,24,San Luis Potosí,035,Soledad de Graciano Sánchez,,,M24.02,312678,132979.0,180296,267839,332072,24035,Soledad de Graciano Sánchez,6492387,6791868,7160201,7612267,8256096,9193478,10478814,12364942,14486953,15582903
273,24,San Luis Potosí,011,Ciudad Fernández,,,M24.01,47185,34778.0,39944,43528,48106,24011,Ciudad Fernández,1135362,1211543,1326285,1486259,1812007,2285611,2669685,3220730,3853058,4544707
274,24,San Luis Potosí,055,Zaragoza,,,M24.02,27392,19143.0,21962,24596,27386,24055,Zaragoza,401910,470547,562384,685157,761087,881957,1090146,1420227,1922872,3099508
275,25,Sinaloa,006,Culiacán,,,M25.01,966609,601123.0,745537,858638,1003530,25006,Culiacán,44196193,45295701,46612193,48120936,50144616,52977419,55162212,58246728,61874718,65610063
276,25,Sinaloa,012,Mazatlán,,,M25.02,492420,314345.0,380509,438434,501441,25012,Mazatlán,21350944,21380259,21412448,21446813,23209205,25787686,26615331,27775081,29004172,29715832
277,26,Sonora,025,Empalme,,,M26.01,60383,46017.0,49987,54131,51431,26025,Empalme,3470907,3497616,3526484,3560063,3763396,4035848,4339957,4740376,5234993,5864814
278,26,Sonora,043,Nogales,,,M26.03,256387,107936.0,159787,220292,264782,26043,Nogales,2341604,3064954,4285877,6039424,6947917,8471502,9693071,11505193,13705463,16488956
279,26,Sonora,030,Hermosillo,,,M26.02,907233,448966.0,609829,784342,936263,26030,Hermosillo,33683328,34895074,36465255,38383000,41501964,45656439,50035560,56564536,64282202,71453184
280,26,Sonora,029,Guaymas,,,M26.01,170823,129092.0,130329,149299,156863,26029,Guaymas,8386849,8719852,9104592,9531112,9952613,10546466,11211548,12078307,13241085,15308183
281,27,Tabasco,013,Nacajuca,,,M27.01,139480,50791.0,80272,115066,150300,27013,Nacajuca,4167755,4258802,4368282,4505530,5079902,5992741,6452400,7129521,7967110,8849360
282,27,Tabasco,004,Centro,,,M27.01,712445,386776.0,520308,640359,683607,27004,Centro,20996648,21895419,23077859,24481803,26950615,30721340,33708647,38143957,43450287,47912918
283,28,Tamaulipas,032,Reynosa,,,M28.04,711130,282667.0,420463,608891,704767,28032,Reynosa,15253628,16991798,19559080,22802519,24947015,28464115,31647227,36875962,43274720,48634037
284,28,Tamaulipas,022,Matamoros,,,M28.02,542609,303293.0,418141,489193,541979,28022,Matamoros,18532440,18604980,18685747,18789797,21085069,24855871,26593652,29143420,32257877,35686107
285,28,Tamaulipas,009,Ciudad Madero,,,M28.05,214126,160331.0,182325,197216,205933,28009,Ciudad Madero,9754551,9823907,9904929,9984288,10104169,10278949,10435680,10639075,10873267,10983051
286,28,Tamaulipas,033,Río Bravo,,,M28.04,132838,94009.0,104229,118259,132484,28033,Río Bravo,4650796,4958633,5372400,5861618,6338638,7223948,7888620,8956478,10360129,11909909
287,28,Tamaulipas,041,Victoria,,,M28.01,365089,207923.0,263063,321953,349688,28041,Victoria,11521886,12032594,12651072,13379383,14953225,17342192,18669625,20566197,22751866,24386394
288,28,Tamaulipas,003,Altamira,,,M28.05,263616,82585.0,127664,212001,269790,28003,Altamira,7901629,8180757,8521598,8930576,10120724,12043062,13226077,14990267,16996465,18765602
289,28,Tamaulipas,038,Tampico,,,M28.05,315370,272690.0,295442,297554,297562,28038,Tampico,12466361,12569762,12683583,12797353,13088508,13452348,13575328,13714454,13851877,13915241
290,28,Tamaulipas,027,Nuevo Laredo,,,M28.03,428927,219468.0,310915,384033,425058,28027,Nuevo Laredo,12272518,12696120,13247406,13926895,15090783,17318530,18977671,21689257,25051542,28265603
